"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.6095794131936e-104,-2.88503389525813,0.195,0.635,7.69297720725371e-100,"Naive CD4 T","HLA-DPB1"
9.35993579305557e-104,-1.80012373075637,0.683,0.859,1.28362159465964e-99,"Naive CD4 T","S100A4"
2.96667050833021e-103,0.62087967678143,0.997,0.983,4.06849193512405e-99,"Naive CD4 T","RPS15A"
6.9762684498301e-101,0.587042522914841,1,0.99,9.56725455209699e-97,"Naive CD4 T","RPLP2"
1.56536079178481e-99,-2.77576829287002,0.172,0.609,2.14673578985369e-95,"Naive CD4 T","HLA-DPA1"
4.35176051683452e-98,0.736139292716238,0.994,0.967,5.96800437278686e-94,"Naive CD4 T","RPS27A"
1.74586165097291e-97,0.675589659013922,1,0.999,2.39427466814425e-93,"Naive CD4 T","MALAT1"
4.2292178056119e-96,0.524326796987417,0.994,0.991,5.79994929861615e-92,"Naive CD4 T","EEF1A1"
2.67703226618779e-93,0.679222000635666,0.984,0.962,3.67128204984993e-89,"Naive CD4 T","RPS13"
6.59028930920087e-93,0.478324358852414,1,0.999,9.03792275863807e-89,"Naive CD4 T","RPL13A"
2.9944984672887e-92,0.536840991926407,0.999,0.988,4.10665519803972e-88,"Naive CD4 T","RPL27A"
5.98787712622311e-92,-1.31953309072863,0.818,0.946,8.21177469090237e-88,"Naive CD4 T","OAZ1"
7.19078890587312e-92,-2.86708343157196,0.172,0.586,9.8614479055144e-88,"Naive CD4 T","LGALS1"
1.81247859612925e-91,0.514122567291635,1,0.996,2.48563314673166e-87,"Naive CD4 T","RPS18"
8.44982514851784e-89,-1.4229959886373,0.346,0.753,1.15880902086774e-84,"Naive CD4 T","CLIC1"
1.16877459524714e-88,0.456875926298408,1,0.995,1.60285747992193e-84,"Naive CD4 T","RPL11"
1.28405832381704e-88,0.743903581907511,0.99,0.904,1.76095758528268e-84,"Naive CD4 T","RPS29"
3.74707942671711e-88,-2.41670214929312,0.04,0.463,5.13874472579985e-84,"Naive CD4 T","HLA-DRB5"
5.22237153082483e-88,0.626007262524537,0.991,0.969,7.16196031737317e-84,"Naive CD4 T","RPS28"
1.3125725114265e-87,0.560736590425263,0.997,0.981,1.8000619421703e-83,"Naive CD4 T","RPL35A"
4.05118350478899e-86,0.564997141363801,1,0.988,5.55579305846763e-82,"Naive CD4 T","RPL23A"
1.01428789732242e-84,0.570326985672692,0.997,0.977,1.39099442238797e-80,"Naive CD4 T","RPS23"
1.87484141481696e-84,-1.12505918478231,0.736,0.903,2.57115751627997e-80,"Naive CD4 T","SH3BGRL3"
1.60679619790529e-82,1.33004009963338,0.436,0.11,2.20356030580731e-78,"Naive CD4 T","CCR7"
1.56505726893946e-80,0.580632858743351,0.996,0.982,2.14631953862358e-76,"Naive CD4 T","TPT1"
1.37358409072596e-79,-1.62354996107111,0.343,0.691,1.88373322202158e-75,"Naive CD4 T","SRGN"
2.70524601703195e-79,0.665638564537781,0.987,0.943,3.70997438775762e-75,"Naive CD4 T","RPS20"
9.34372767196297e-79,-0.887864618751438,0.99,0.994,1.281398812933e-74,"Naive CD4 T","ACTB"
4.19808148840892e-77,0.951977922175256,0.838,0.406,5.75724895320399e-73,"Naive CD4 T","CD3D"
5.41173702837628e-77,-3.54527457050994,0.128,0.495,7.42165616071524e-73,"Naive CD4 T","TYROBP"
1.09837155670168e-76,0.495689528642687,0.997,0.992,1.50630675286068e-72,"Naive CD4 T","RPS4X"
1.94182793909787e-76,0.593293803229551,0.989,0.969,2.66302283567881e-72,"Naive CD4 T","RPL5"
7.99348438491102e-74,0.529040551854129,0.996,0.982,1.0962264485467e-69,"Naive CD4 T","RPS16"
5.72165415601959e-73,-2.00454295121069,0.353,0.676,7.84667650956526e-69,"Naive CD4 T","SAT1"
2.05770823967196e-72,-1.96857857878029,0.984,0.992,2.82194107988613e-68,"Naive CD4 T","FTH1"
3.49439289576808e-72,-2.85102480530795,0.095,0.453,4.79221041725634e-68,"Naive CD4 T","FCER1G"
1.41353674705568e-71,-1.91708078751043,0.271,0.618,1.93852429491217e-67,"Naive CD4 T","S100A11"
4.20009315186038e-71,-1.02786294514749,0.654,0.876,5.76000774846132e-67,"Naive CD4 T","ARPC3"
4.62480669512755e-68,0.382699052258681,0.999,0.993,6.34245990169792e-64,"Naive CD4 T","RPL19"
4.09913319236805e-67,0.346241030352796,1,0.997,5.62155126001355e-63,"Naive CD4 T","RPL10"
7.53757497532706e-67,0.507297286494476,0.991,0.985,1.03370303211635e-62,"Naive CD4 T","RPL10A"
1.5644959000699e-66,-2.29755454430065,0.971,0.996,2.14554967735586e-62,"Naive CD4 T","FTL"
3.730564348459e-66,-1.52859985148117,0.166,0.535,5.11609594747668e-62,"Naive CD4 T","ANXA2"
9.3421630349481e-66,0.566668034360436,0.989,0.948,1.28118423861278e-61,"Naive CD4 T","RPSA"
3.28446915293804e-63,-2.20804922184384,0.102,0.437,4.50432099633922e-59,"Naive CD4 T","TYMP"
3.20251828350835e-61,-3.53400702542556,0.168,0.481,4.39193357400336e-57,"Naive CD4 T","CST3"
5.27484515533963e-61,0.500965502560178,0.99,0.975,7.23392264603276e-57,"Naive CD4 T","RPS5"
7.14787019865649e-60,0.525549330190637,0.987,0.97,9.80258919043751e-56,"Naive CD4 T","RPS10"
8.30573784057267e-60,0.418100574432997,0.994,0.985,1.13904888745614e-55,"Naive CD4 T","RPL14"
1.61502135335073e-59,-0.906220953350607,0.753,0.888,2.21484028398519e-55,"Naive CD4 T","MYL6"
6.88138343174722e-58,-2.73908734044764,0.128,0.439,9.43712923829813e-54,"Naive CD4 T","LST1"
2.89625520942326e-56,-1.38133214481289,0.712,0.808,3.97192439420306e-52,"Naive CD4 T","S100A6"
5.46129188900251e-56,0.39502327269967,0.999,0.989,7.48961569657804e-52,"Naive CD4 T","RPS15"
8.14708610987491e-56,-1.71140772499029,0.301,0.584,1.11729138910825e-51,"Naive CD4 T","PSAP"
8.31864401771198e-56,0.506359400069799,0.997,0.979,1.14081884058902e-51,"Naive CD4 T","RPL18"
1.85808149518436e-55,0.728152984165978,0.91,0.801,2.54817296249583e-51,"Naive CD4 T","NPM1"
2.60933554757197e-55,0.515345452050096,0.984,0.939,3.5784427699402e-51,"Naive CD4 T","RPLP0"
3.24523993888112e-55,0.521840211886563,0.984,0.95,4.45052205218157e-51,"Naive CD4 T","RPL36"
6.05449495451717e-55,-1.71279848716116,0.23,0.543,8.30313438062485e-51,"Naive CD4 T","GSTP1"
2.31605410601754e-54,0.86552418540668,0.726,0.399,3.17623660099245e-50,"Naive CD4 T","CD3E"
2.90568042980521e-54,-2.08444682534715,0.024,0.318,3.98485014143486e-50,"Naive CD4 T","HLA-DQB1"
1.40328282490993e-53,-1.8754834552581,0.331,0.591,1.92446206608148e-49,"Naive CD4 T","CTSS"
1.84630149124656e-53,-4.37692040527248,0.141,0.435,2.53201786509553e-49,"Naive CD4 T","S100A9"
8.2170963882392e-53,-1.71204075721616,0.046,0.345,1.12689259868312e-48,"Naive CD4 T","HLA-DMA"
1.75774891825721e-51,0.522468386455536,0.99,0.957,2.41057686649794e-47,"Naive CD4 T","RPL4"
1.40807079770192e-50,-0.706182973378943,0.915,0.956,1.93102829196842e-46,"Naive CD4 T","PFN1"
1.47744305743146e-50,-0.942371662344058,0.789,0.873,2.02616540896151e-46,"Naive CD4 T","GAPDH"
3.19155506230376e-50,0.999223170953864,0.628,0.358,4.37689861244337e-46,"Naive CD4 T","NOSIP"
6.21879431432998e-50,-1.02703718545722,0.604,0.8,8.52845452267214e-46,"Naive CD4 T","ARPC1B"
8.28197051955879e-50,-1.64268507548131,0.475,0.685,1.13578943705229e-45,"Naive CD4 T","COTL1"
1.81666102379686e-49,-2.15701737119034,0.02,0.29,2.49136892803501e-45,"Naive CD4 T","HLA-DQA1"
1.86945177602081e-49,-1.47660442845079,0.149,0.451,2.56376616563493e-45,"Naive CD4 T","PYCARD"
2.2791795250398e-49,-1.62383407956593,0.017,0.284,3.12566680063958e-45,"Naive CD4 T","SPI1"
3.32486631068648e-49,1.05264401088065,0.336,0.104,4.55972165847544e-45,"Naive CD4 T","LEF1"
2.40328207365915e-48,0.55799179331489,0.956,0.89,3.29586103581615e-44,"Naive CD4 T","RPL36A"
2.66387783229522e-48,-0.734276799322475,0.679,0.846,3.65324205920966e-44,"Naive CD4 T","ARPC2"
2.0996668659716e-47,0.543314332286325,0.94,0.869,2.87948313999345e-43,"Naive CD4 T","EEF1B2"
2.86104068298197e-47,0.646820076974598,0.901,0.78,3.92363119264148e-43,"Naive CD4 T","RPL22"
8.79732427513188e-47,0.535706633211644,0.977,0.968,1.20646505109159e-42,"Naive CD4 T","RPL7"
1.80447152230133e-46,0.430352891333024,0.997,0.984,2.47465224568405e-42,"Naive CD4 T","RPS8"
2.07346800823515e-46,-1.62857340561515,0.03,0.292,2.84355402649369e-42,"Naive CD4 T","CD68"
1.1770107291963e-45,-1.67257253290858,0.05,0.317,1.61415251401981e-41,"Naive CD4 T","LGALS3"
8.66962870809269e-45,-3.8982173042065,0.083,0.346,1.18895288102783e-40,"Naive CD4 T","S100A8"
1.10693820661648e-44,0.31605995615666,0.999,0.992,1.51805505655385e-40,"Naive CD4 T","RPL18A"
1.7879957223403e-44,0.352423506524935,0.997,0.992,2.45205733361749e-40,"Naive CD4 T","RPS19"
2.05288163200311e-44,0.31536291212448,1,0.995,2.81532187012906e-40,"Naive CD4 T","RPS2"
2.49857245146208e-44,1.02716083319133,0.331,0.11,3.42654225993509e-40,"Naive CD4 T","PRKCQ-AS1"
2.64252365531837e-44,-1.28147130672411,0.029,0.283,3.62395694090361e-40,"Naive CD4 T","FGR"
5.70001817429401e-44,-2.53501719544216,0.108,0.364,7.8170049242268e-40,"Naive CD4 T","FCN1"
1.51610215064602e-43,-0.44022455709691,0.99,0.996,2.07918248939595e-39,"Naive CD4 T","MT-CO1"
2.11066789203056e-43,-1.16770776350248,0.263,0.545,2.89456994713071e-39,"Naive CD4 T","PRELID1"
2.98761905282882e-43,-1.85224152977993,0.046,0.296,4.09722076904944e-39,"Naive CD4 T","CFD"
3.11561169934492e-43,-1.46395069841739,0.037,0.292,4.27274988448163e-39,"Naive CD4 T","CEBPD"
5.04566442739116e-43,0.435967854249245,0.971,0.959,6.91962419572423e-39,"Naive CD4 T","RPL17"
7.61445001818075e-43,0.937841956191205,0.438,0.185,1.04424567549331e-38,"Naive CD4 T","PIK3IP1"
1.06049481491722e-42,-2.31376769902206,0.034,0.278,1.45436258917747e-38,"Naive CD4 T","LGALS2"
2.03184850863105e-42,0.684452852436717,0.914,0.904,2.78647704473663e-38,"Naive CD4 T","JUNB"
2.30746089095669e-42,-3.70060821079833,0.476,0.651,3.16445186585801e-38,"Naive CD4 T","LYZ"
7.85970212711889e-42,-1.32491327676383,0.019,0.254,1.07787954971309e-37,"Naive CD4 T","LY86"
9.94228559273104e-42,-1.49900927358008,0.057,0.309,1.36348504618714e-37,"Naive CD4 T","GRN"
1.40389912403058e-41,0.721351286630312,0.841,0.701,1.92530725869554e-37,"Naive CD4 T","TMEM66"
5.82676845757986e-40,0.563469652646273,0.91,0.806,7.99083026272502e-36,"Naive CD4 T","GLTSCR2"
8.38007652954443e-40,-1.52148363462181,0.241,0.482,1.14924369526172e-35,"Naive CD4 T","NPC2"
1.03252084395011e-39,-1.93241295957564,0.052,0.289,1.41599908539318e-35,"Naive CD4 T","IFITM3"
1.04849215009508e-39,0.489699543570531,0.958,0.9,1.43790213464039e-35,"Naive CD4 T","RPS26"
1.70047716660055e-39,0.569181056486313,0.938,0.86,2.33203438627599e-35,"Naive CD4 T","BTG1"
2.24946987016844e-39,-1.3601928939347,0.108,0.366,3.08492297994899e-35,"Naive CD4 T","AP1S2"
7.67855193045824e-39,0.684397640907508,0.572,0.294,1.05303661174304e-34,"Naive CD4 T","CD7"
1.1493935769112e-38,-1.53286944198563,0.069,0.311,1.57627835137603e-34,"Naive CD4 T","SERPINA1"
1.16725904724338e-38,0.512663692609142,0.941,0.876,1.60077905738957e-34,"Naive CD4 T","RPL38"
1.78353165992536e-38,-1.08410104465158,0.244,0.511,2.44593531842164e-34,"Naive CD4 T","RAC1"
7.93620832034824e-38,0.414019352353007,0.987,0.966,1.08837160905256e-33,"Naive CD4 T","RPL35"
1.52443740747455e-37,-0.649952104076523,0.782,0.883,2.09061346061059e-33,"Naive CD4 T","SERF2"
7.31573461418187e-37,0.417222640671809,0.977,0.944,1.0032798449889e-32,"Naive CD4 T","RPL24"
3.0842587367704e-36,-1.12813894399327,0.148,0.406,4.22975243160692e-32,"Naive CD4 T","ATP6V0B"
3.62208016555786e-36,0.498539967865712,0.933,0.841,4.96732073904605e-32,"Naive CD4 T","RPS21"
1.61144879436371e-35,-1.13738644018015,0.331,0.547,2.20994087659039e-31,"Naive CD4 T","GABARAP"
3.62198557989668e-35,-1.30766504623511,0.046,0.266,4.9671910242703e-31,"Naive CD4 T","CFP"
3.89424357638116e-35,0.725630659440151,0.597,0.333,5.34056564064912e-31,"Naive CD4 T","IL7R"
4.61763034319874e-35,0.296789840327044,1,0.996,6.33261825266275e-31,"Naive CD4 T","RPLP1"
1.1177036872649e-34,-1.03073867824706,0.106,0.351,1.53281883671508e-30,"Naive CD4 T","CARD16"
1.28116810787274e-34,-1.00678737040794,0.286,0.538,1.75699394313667e-30,"Naive CD4 T","ITGB2"
1.94867901728476e-34,-1.70753211753454,0.254,0.484,2.67241840430432e-30,"Naive CD4 T","GPX1"
1.25243441373646e-33,-1.24814065422887,0.176,0.414,1.71758855499818e-29,"Naive CD4 T","TKT"
2.66784573519417e-33,-1.84544300211963,0.082,0.3,3.65868364124528e-29,"Naive CD4 T","CD79B"
4.36550123807813e-33,0.28161378920977,1,0.989,5.98684839790035e-29,"Naive CD4 T","RPL12"
5.13534261805681e-33,-1.25835631652346,0.268,0.513,7.0426088664031e-29,"Naive CD4 T","ISG15"
6.4852554730626e-33,0.926212888539321,0.263,0.088,8.89387935575805e-29,"Naive CD4 T","MAL"
7.27357817314493e-33,-1.10318086206392,0.066,0.288,9.97498510665095e-29,"Naive CD4 T","FAM26F"
9.18871920508203e-33,-2.95750084522724,0.132,0.359,1.26014095178495e-28,"Naive CD4 T","NKG7"
1.06900848238519e-32,-0.792430163290353,0.613,0.778,1.46603823274305e-28,"Naive CD4 T","EMP3"
1.59404391167838e-32,-0.94156855928957,0.164,0.41,2.18607182047573e-28,"Naive CD4 T","CD63"
6.35704380656961e-32,0.416277027222205,0.984,0.943,8.71804987632956e-28,"Naive CD4 T","RPL37"
1.05590494207062e-31,0.76626275489658,0.385,0.179,1.44806803755565e-27,"Naive CD4 T","TCF7"
2.04883259176387e-31,-0.764259419025243,0.529,0.718,2.80976901634497e-27,"Naive CD4 T","LY6E"
3.82330069436197e-31,-1.0161151374158,0.073,0.29,5.24327457224801e-27,"Naive CD4 T","CAPG"
7.98950249331406e-31,-1.0767436549916,0.181,0.415,1.09568037193309e-26,"Naive CD4 T","AP2S1"
8.6639311054509e-31,-1.19896109482554,0.115,0.336,1.18817151180154e-26,"Naive CD4 T","RGS2"
9.76933341286136e-30,0.357258352887183,0.981,0.946,1.33976638423981e-25,"Naive CD4 T","RPL37A"
1.48732581739745e-29,0.769014161248661,0.689,0.494,2.03971862597887e-25,"Naive CD4 T","C6orf48"
3.62081312204583e-29,-0.906598839659565,0.215,0.454,4.96558311557365e-25,"Naive CD4 T","RHOG"
4.27325859268091e-29,-0.357224007102778,0.927,0.956,5.8603468340026e-25,"Naive CD4 T","HLA-B"
6.48378186255532e-29,0.59071546358035,0.396,0.183,8.89185844630836e-25,"Naive CD4 T","CD27"
7.43779078099461e-29,-0.995444890513872,0.108,0.326,1.0200186277056e-24,"Naive CD4 T","CTSC"
8.80977319199849e-29,-0.984197615730095,0.317,0.536,1.20817229555067e-24,"Naive CD4 T","TSPO"
1.43288531138826e-28,0.57500935505785,0.927,0.904,1.96505891603786e-24,"Naive CD4 T","RPL34"
2.07430283876708e-28,-0.716721702884728,0.562,0.729,2.84469891308517e-24,"Naive CD4 T","EIF4A1"
2.41405019571308e-28,0.454023183164011,0.933,0.872,3.31062843840092e-24,"Naive CD4 T","RPS4Y1"
2.73314145000877e-28,0.350433300457097,0.976,0.952,3.74823018454203e-24,"Naive CD4 T","RPL27"
6.39471971820374e-28,-0.68925395369001,0.426,0.643,8.7697186215446e-24,"Naive CD4 T","PSMB9"
6.44581705571395e-28,-0.852752658264167,0.082,0.293,8.83979351020611e-24,"Naive CD4 T","MYO1F"
8.43685271422651e-28,-0.949989996702581,0.143,0.367,1.15702998122902e-23,"Naive CD4 T","ANXA5"
2.03094835459263e-27,-1.11658596298956,0.168,0.387,2.78524257348833e-23,"Naive CD4 T","TIMP1"
2.35244489047175e-27,0.505944655968495,0.834,0.701,3.22614292279296e-23,"Naive CD4 T","RPSAP58"
2.6165829060509e-27,0.283542492815622,0.996,0.996,3.5883817973582e-23,"Naive CD4 T","RPL15"
3.40906076068535e-27,-0.306777359615777,1,1,4.67518592720389e-23,"Naive CD4 T","TMSB4X"
6.88057443957774e-27,-1.02009045063952,0.066,0.255,9.43601978643691e-23,"Naive CD4 T","BRI3"
8.78007206328092e-27,-2.01854190645754,0.254,0.418,1.20409908275835e-22,"Naive CD4 T","AIF1"
9.9959335170631e-27,-0.832031310951071,0.521,0.685,1.37084232253003e-22,"Naive CD4 T","S100A10"
2.02387903886673e-26,0.31243396968552,0.984,0.976,2.77554771390183e-22,"Naive CD4 T","RPL7A"
5.07864596004677e-26,-1.18654414654901,0.211,0.428,6.96485506960814e-22,"Naive CD4 T","TALDO1"
1.25746779039786e-25,-0.960260790509764,0.245,0.46,1.72449132775162e-21,"Naive CD4 T","IFI6"
2.58209506901496e-25,-0.697455012294974,0.352,0.565,3.54108517764712e-21,"Naive CD4 T","TPI1"
3.44851336251047e-25,-0.945557724944597,0.307,0.51,4.72929122534685e-21,"Naive CD4 T","NFKBIA"
4.62345919825426e-25,0.708558102459519,0.397,0.21,6.3406119444859e-21,"Naive CD4 T","LEPROTL1"
8.05992499827642e-25,-0.794882576147709,0.154,0.366,1.10533811426363e-20,"Naive CD4 T","C20orf24"
9.1959868257106e-25,-0.851696908420019,0.321,0.518,1.26113763327795e-20,"Naive CD4 T","FKBP1A"
3.43344522579839e-24,-0.776161803217895,0.529,0.68,4.70862678265991e-20,"Naive CD4 T","NEAT1"
4.10403157401224e-24,-0.39996919609451,0.901,0.921,5.62826890060039e-20,"Naive CD4 T","CFL1"
5.11634166426683e-24,-0.787077707089942,0.23,0.442,7.01655095837553e-20,"Naive CD4 T","H3F3A"
9.72408465400468e-24,0.264351513671639,0.997,0.993,1.3335609694502e-19,"Naive CD4 T","RPL6"
1.22290329581884e-23,-0.982073155507227,0.132,0.333,1.67708957988596e-19,"Naive CD4 T","LINC00936"
4.51458896191425e-23,0.322973233439931,0.887,0.638,6.1913073023692e-19,"Naive CD4 T","LTB"
8.22506598717483e-23,-0.795203415244405,0.121,0.314,1.12798554948116e-18,"Naive CD4 T","REEP5"
8.37995580313825e-23,-0.596520844372534,0.758,0.839,1.14922713884238e-18,"Naive CD4 T","YBX1"
1.52103199605886e-22,-0.959693114601021,0.1,0.281,2.08594327939512e-18,"Naive CD4 T","FCGRT"
3.71312625206383e-22,-0.755969436509578,0.303,0.516,5.09218134208033e-18,"Naive CD4 T","PSMB8"
4.00829690495865e-22,-0.991434401520059,0.113,0.292,5.49697837546029e-18,"Naive CD4 T","STXBP2"
6.23450388705636e-22,-0.541729438391223,0.492,0.707,8.54999863070909e-18,"Naive CD4 T","KLF6"
9.51467455604153e-22,-0.783518982845069,0.192,0.401,1.30484246861554e-17,"Naive CD4 T","UBE2L6"
9.74631239565803e-22,-0.793743179741182,0.681,0.802,1.33660928194054e-17,"Naive CD4 T","CD37"
1.55427343574001e-21,0.542512207583187,0.636,0.442,2.13153058977384e-17,"Naive CD4 T","AES"
2.01744772230336e-21,-1.33825192678313,0.176,0.367,2.76672780636683e-17,"Naive CD4 T","CCL5"
2.34729059135996e-21,-0.679052251681314,0.608,0.745,3.21907431699105e-17,"Naive CD4 T","IFITM2"
5.47521757109787e-21,-0.774060999439507,0.109,0.289,7.50871337700361e-17,"Naive CD4 T","DOK2"
6.47891617872146e-21,0.425655704051625,0.605,0.425,8.8851856474986e-17,"Naive CD4 T","SELL"
9.37034937976212e-21,0.265595310052746,0.996,0.987,1.28504971394058e-16,"Naive CD4 T","RPS7"
1.02629195285766e-20,-0.732944240700582,0.133,0.319,1.407456784149e-16,"Naive CD4 T","RGS19"
1.25915773621616e-20,-0.693596765362714,0.413,0.603,1.72680891944685e-16,"Naive CD4 T","BRK1"
1.82202885200862e-20,-0.445926658124407,0.984,0.98,2.49873036764462e-16,"Naive CD4 T","HLA-C"
2.07837228493396e-20,0.594732991165152,0.547,0.385,2.85027975155844e-16,"Naive CD4 T","TMEM123"
2.76938949334156e-20,-0.881711665261409,0.121,0.292,3.79794075116861e-16,"Naive CD4 T","ASAH1"
2.87326709193283e-20,0.244445426044445,0.996,0.991,3.94039848987668e-16,"Naive CD4 T","RPL26"
3.94465057390383e-20,0.559123061163619,0.341,0.175,5.40969379705171e-16,"Naive CD4 T","CD3G"
5.8956079693548e-20,-0.646240472450956,0.379,0.57,8.08523676917318e-16,"Naive CD4 T","PPP1CA"
6.23823245919964e-20,-0.72953621543173,0.139,0.319,8.55511199454639e-16,"Naive CD4 T","CASP1"
8.03885563460387e-20,-0.956864180380071,0.195,0.37,1.10244866172958e-15,"Naive CD4 T","CEBPB"
1.016625523955e-19,0.61755628873778,0.352,0.187,1.39420024355188e-15,"Naive CD4 T","RGCC"
1.59144947560751e-19,-0.599598851841464,0.435,0.615,2.18251381084814e-15,"Naive CD4 T","RHOA"
1.77610207226622e-19,0.578743503523982,0.41,0.241,2.4357463819059e-15,"Naive CD4 T","GIMAP5"
2.28759747474758e-19,0.226897886587255,0.999,0.986,3.13721117686883e-15,"Naive CD4 T","RPS9"
2.34423409913591e-19,-0.65655505178744,0.301,0.502,3.21488264355499e-15,"Naive CD4 T","BST2"
2.4143797013398e-19,-0.582171849854128,0.113,0.292,3.31108032241741e-15,"Naive CD4 T","HN1"
3.15786484103246e-19,-0.672476684457769,0.142,0.323,4.33069584299191e-15,"Naive CD4 T","VASP"
4.6833703719848e-19,0.220730056250564,0.989,0.986,6.42277412813996e-15,"Naive CD4 T","RPL29"
6.06616941004046e-19,0.562740896183396,0.496,0.313,8.31914472892948e-15,"Naive CD4 T","LCK"
1.23879548707176e-18,-0.368087088345868,0.924,0.954,1.69888413097021e-14,"Naive CD4 T","MT-ND1"
1.42421350599017e-18,-0.665991650501858,0.138,0.313,1.95316640211492e-14,"Naive CD4 T","GNB2"
1.87158001485398e-18,-0.754988786251549,0.152,0.325,2.56668483237075e-14,"Naive CD4 T","CNPY3"
2.30273085108699e-18,-0.615565176182564,0.422,0.584,3.1579650891807e-14,"Naive CD4 T","CALM2"
2.32561389919026e-18,-0.54661835724351,0.237,0.435,3.18934690134952e-14,"Naive CD4 T","PSMB3"
2.75738814158678e-18,-0.634167606669963,0.422,0.601,3.78148209737211e-14,"Naive CD4 T","PSME2"
3.08806828631121e-18,0.305398622655507,0.954,0.921,4.23497684784719e-14,"Naive CD4 T","HNRNPA1"
3.17982497986957e-18,0.70467700438698,0.438,0.284,4.36081197739313e-14,"Naive CD4 T","NDFIP1"
4.54882956218776e-18,-0.649740860604386,0.103,0.268,6.2382648615843e-14,"Naive CD4 T","GLIPR2"
5.32184410081727e-18,0.751796411637386,0.418,0.26,7.2983769998608e-14,"Naive CD4 T","C12orf57"
6.40329186671906e-18,0.197980012229747,1,0.993,8.78147446601851e-14,"Naive CD4 T","RPL28"
6.41990071411111e-18,-0.520787847316364,0.341,0.512,8.80425183933198e-14,"Naive CD4 T","SNX3"
8.57238220138081e-18,-0.859472023341161,0.172,0.343,1.17561649509736e-13,"Naive CD4 T","H2AFY"
1.33167358438297e-17,0.419324267801452,0.829,0.761,1.82625715362281e-13,"Naive CD4 T","TOMM7"
1.45615712289123e-17,-0.496841648880668,0.826,0.877,1.99697387833303e-13,"Naive CD4 T","ACTG1"
2.52132183188872e-17,-0.734120904728546,0.126,0.284,3.45774076025219e-13,"Naive CD4 T","CTSD"
2.52295675961347e-17,-0.662327430330122,0.102,0.258,3.45998290013391e-13,"Naive CD4 T","APOBEC3G"
2.96422613860979e-17,0.662593180609589,0.27,0.138,4.06513972648947e-13,"Naive CD4 T","FLT3LG"
3.52752217320276e-17,-0.524148278422186,0.181,0.36,4.83764390833026e-13,"Naive CD4 T","BLOC1S1"
3.76357465740391e-17,-0.694218832846476,0.162,0.334,5.16136628516372e-13,"Naive CD4 T","SUPT4H1"
6.21705068792284e-17,-0.618255407801861,0.103,0.26,8.52606331341738e-13,"Naive CD4 T","RAB8A"
6.71003513156028e-17,-0.461477309409563,0.621,0.738,9.20214217942176e-13,"Naive CD4 T","ALDOA"
6.9897687179389e-17,-0.447494744651872,0.347,0.534,9.58576881978141e-13,"Naive CD4 T","PRR13"
7.44532740567567e-17,0.165074853329296,0.765,0.476,1.02105220041436e-12,"Naive CD4 T","IL32"
7.6825849751233e-17,-0.895282025253612,0.201,0.359,1.05358970348841e-12,"Naive CD4 T","MT2A"
8.39960052667519e-17,-0.731364661600906,0.136,0.301,1.15192121622824e-12,"Naive CD4 T","ARRB2"
1.26758309648735e-16,-0.664580681856271,0.168,0.337,1.73836345852275e-12,"Naive CD4 T","GSTO1"
1.94374025286133e-16,0.615014368957376,0.36,0.211,2.66564538277403e-12,"Naive CD4 T","RHOH"
